id,full name,formdate,jan,feb,mar,apr,may,jun,jul
497,Centrocercus urophasianus,22,9,23,27,31,17,29,1
498,Lutra canadensis,22,23,12,1,31,31,11,10
499,Spheniscus magellanicus,22,4,1,9,5,2,10,24
500,Cereopsis novaehollandiae,22,22,12,30,19,2,1,4
501,Uraeginthus granatina,22,2,5,28,15,15,15,29
502,Himantopus himantopus,22,26,9,2,27,31,21,16
503,Theropithecus gelada,22,19,27,8,21,14,12,11
504,Spermophilus armatus,22,16,4,15,12,8,18,30
505,Cygnus buccinator,22,19,3,5,16,15,3,4
506,Certotrichas paena,22,1,25,14,19,28,19,7
507,Varanus komodensis,22,5,20,22,20,28,30,16
508,Lycaon pictus,22,17,25,24,5,22,14,28
509,Anthropoides paradisea,22,15,13,31,17,4,26,6
510,Anastomus oscitans,22,18,10,17,7,28,8,20
511,Butorides striatus,22,27,2,28,28,18,26,10
512,Cyrtodactylus louisiadensis,22,28,11,11,2,21,10,15
513,Cacatua tenuirostris,22,6,29,12,27,21,7,8
514,Crocodylus niloticus,22,22,23,7,22,24,30,15
515,Callipepla gambelii,22,5,8,2,14,16,1,9
516,Corvus albicollis,22,13,11,5,24,8,20,27
517,Gekko gecko,22,31,13,28,22,31,16,31
518,Geococcyx californianus,22,8,23,17,13,29,15,31
519,Macropus fuliginosus,22,12,13,17,20,12,20,21
520,Pteropus rufus,22,3,4,22,18,25,6,12
521,Actophilornis africanus,22,27,25,12,11,14,31,27
522,Phoenicopterus ruber,22,22,2,12,2,13,10,12
523,Mycteria ibis,22,7,2,23,2,25,1,16
524,Tenrec ecaudatus,22,19,20,11,12,24,21,7
525,Varanus komodensis,22,23,15,18,23,8,17,22
526,Pycnonotus nigricans,22,18,31,25,17,9,5,4
527,Elephas maximus bengalensis,22,9,25,27,23,3,10,31
528,Gyps bengalensis,22,7,4,17,11,24,20,9
529,Spizaetus coronatus,22,3,31,4,16,21,13,20
530,Semnopithecus entellus,22,27,21,4,6,4,29,10
531,Mellivora capensis,22,18,24,12,7,14,30,15
532,Antidorcas marsupialis,22,5,27,10,20,7,11,12
533,Larus dominicanus,22,15,23,27,15,5,28,6
534,Gymnorhina tibicen,22,17,9,13,3,12,18,8
535,Chelodina longicollis,22,15,8,13,26,7,25,31
536,Lamprotornis superbus,22,5,9,29,9,22,4,30
537,Corvus albus,22,14,8,18,22,24,15,11
538,Turtur chalcospilos,22,27,13,15,11,26,7,25
539,Mazama gouazoubira,22,4,13,27,14,23,11,12
540,Mellivora capensis,22,16,6,14,9,25,26,20
541,Vulpes vulpes,22,1,9,21,26,9,9,10
542,Pelecanus occidentalis,22,30,22,7,23,19,15,25
543,Coendou prehensilis,22,8,31,17,24,13,31,1
544,Zonotrichia capensis,22,20,3,20,17,20,23,14
545,Eurocephalus anguitimens,22,6,4,5,18,8,11,14
546,Dromaeus novaehollandiae,22,20,25,23,17,6,2,26
547,Lemur catta,22,21,30,31,29,30,28,19
548,Zonotrichia capensis,22,12,15,18,25,25,5,14
549,Ardea cinerea,22,3,19,11,3,25,17,5
550,Anas punctata,22,18,4,25,23,25,13,13
551,Carduelis pinus,22,27,15,15,20,12,31,22
552,Sylvicapra grimma,22,24,12,9,17,7,26,2
553,Plocepasser mahali,22,6,30,1,31,14,19,25
554,Corvus albicollis,22,19,6,2,8,28,8,5
555,Echimys chrysurus,22,7,3,14,6,8,11,8
556,Alopochen aegyptiacus,22,25,8,25,6,1,12,6
557,Dasyprocta leporina,22,30,24,27,13,17,2,25
558,Pteronura brasiliensis,22,20,4,23,10,15,18,2
559,Felis serval,22,9,26,2,13,20,27,27
560,Leptoptilos crumeniferus,22,9,24,10,28,10,24,23
561,Phasianus colchicus,22,10,4,26,12,4,27,28
562,Macropus robustus,22,27,9,17,5,18,15,25
563,Phasianus colchicus,22,5,3,29,12,15,18,31
564,Panthera leo,22,1,18,10,30,31,8,22
565,Hippotragus niger,22,30,19,24,25,23,14,20
566,Kobus defassa,22,31,7,24,24,25,3,10
567,Chelodina longicollis,22,9,10,17,5,2,5,7
568,Pitangus sulphuratus,22,21,11,28,8,15,16,8
569,Panthera leo,22,20,20,13,16,15,5,9
570,Melursus ursinus,22,6,2,5,7,27,31,20
571,Gazella granti,22,11,5,7,29,25,5,6
572,Melophus lathami,22,27,16,11,30,8,26,16
573,Phaethon aethereus,22,18,17,27,28,18,15,25
574,Spermophilus parryii,22,26,3,28,6,16,11,21
575,Smithopsis crassicaudata,22,2,30,27,12,22,18,16
576,Madoqua kirkii,22,26,29,9,23,31,28,8
577,Ploceus intermedius,22,28,19,6,23,6,14,30
578,Sciurus vulgaris,22,8,31,23,13,13,14,29
579,Oreotragus oreotragus,22,22,26,9,8,21,29,15
580,Libellula quadrimaculata,22,28,28,21,19,7,12,30
581,Varanus sp.,22,22,17,15,19,11,16,12
582,Buteo jamaicensis,22,25,9,2,25,27,8,11
583,Tockus flavirostris,22,12,5,11,27,9,27,21
584,Limnocorax flavirostra,22,27,7,27,17,19,22,25
585,Eira barbata,22,6,19,29,31,31,16,13
586,Phoeniconaias minor,22,15,29,21,18,28,5,6
587,Tamiasciurus hudsonicus,22,18,29,18,22,4,2,31
588,Felis pardalis,22,8,21,13,12,15,26,25
589,Macaca radiata,22,14,30,4,31,24,10,16
590,unavailable,22,9,28,23,19,25,8,29
591,Spermophilus tridecemlineatus,22,27,9,3,4,26,29,30
592,Tauraco porphyrelophus,22,31,25,9,12,26,14,5
593,Dipodomys deserti,22,29,19,3,2,24,25,29
594,Sarcorhamphus papa,22,18,13,29,6,9,16,16
595,Estrilda erythronotos,22,28,28,11,22,8,15,26
596,Eremophila alpestris,22,18,11,3,26,26,11,19
597,Felis concolor,22,7,9,6,12,7,23,4
598,Amphibolurus barbatus,22,27,28,14,13,29,15,29
599,Sterna paradisaea,22,5,14,27,3,27,25,18
600,Delphinus delphis,22,24,12,26,11,14,15,5
601,Gopherus agassizii,22,8,24,4,22,29,24,2
602,Ratufa indica,22,22,27,15,28,19,30,17
603,Phascogale calura,22,22,9,13,15,30,15,13
604,Ctenophorus ornatus,22,1,2,19,28,23,17,6
605,Thamnolaea cinnmomeiventris,22,8,10,8,9,19,26,4
606,Corvus albicollis,22,4,1,14,14,4,5,8
607,Spermophilus richardsonii,22,8,2,7,25,22,20,19
608,Cercatetus concinnus,22,26,27,7,18,15,22,24
609,Nyctanassa violacea,22,13,7,8,5,30,1,9
610,Vulpes vulpes,22,1,16,8,5,23,27,30
611,Ardea golieth,22,7,6,22,2,18,8,31
612,Nasua nasua,22,30,26,17,14,20,29,6
613,Geochelone radiata,22,29,9,28,9,1,24,23
614,Cervus elaphus,22,6,28,15,15,3,28,25
615,Tapirus terrestris,22,15,31,24,19,23,2,27
616,Anastomus oscitans,22,30,16,18,25,2,30,23
617,Priodontes maximus,22,29,9,19,27,29,30,28
618,unavailable,22,24,19,6,10,22,4,28
619,Cynomys ludovicianus,22,21,23,1,24,31,24,9
620,Sauromalus obesus,22,26,20,13,1,23,12,19
621,Zalophus californicus,22,29,4,3,2,10,8,3
622,Ramphastos tucanus,22,15,1,8,29,17,4,14
623,Anas bahamensis,22,3,9,26,18,9,29,28
624,Propithecus verreauxi,22,24,10,6,9,6,6,5
625,Passer domesticus,22,19,19,7,9,7,17,24
626,Ratufa indica,22,17,10,29,27,22,2,1
627,Spermophilus armatus,22,27,12,24,12,29,10,28
628,Dasyurus maculatus,22,4,25,15,5,19,25,22
629,Actophilornis africanus,22,15,2,29,30,24,21,9
630,Ara ararauna,22,29,20,5,15,16,9,14
631,Numida meleagris,22,16,19,7,31,24,19,23
632,Acrobates pygmaeus,22,31,11,12,27,20,22,11
633,Psittacula krameri,22,19,10,3,25,6,30,5
634,Bison bison,22,13,23,24,20,7,19,15
635,Buteo jamaicensis,22,13,3,28,27,18,1,16
636,Antilocapra americana,22,14,29,7,28,15,10,24
637,Bassariscus astutus,22,27,5,26,24,11,24,30
638,Gyps bengalensis,22,18,18,13,9,19,23,25
639,Sitta canadensis,22,17,19,7,29,30,11,24
640,Elephas maximus bengalensis,22,23,12,14,12,23,15,22
641,Meleagris gallopavo,22,5,14,6,29,28,17,22
642,Rhea americana,22,1,10,23,21,2,26,10
643,Dendrocitta vagabunda,22,10,22,11,4,12,26,3
644,unavailable,22,10,30,1,13,26,4,8
645,Macaca radiata,22,4,9,28,2,25,20,22
646,Ictonyx striatus,22,30,17,30,11,19,13,5
647,Hymenolaimus malacorhynchus,22,12,15,8,26,30,16,28
648,Morelia spilotes variegata,22,17,31,9,9,21,29,14
649,Sciurus vulgaris,22,9,23,16,4,8,12,23
650,Phoca vitulina,22,12,17,14,17,23,12,19
651,Melophus lathami,22,8,7,5,8,6,8,11
652,Phoeniconaias minor,22,19,3,12,1,16,16,7
653,Ardea cinerea,22,10,31,26,21,2,26,20
654,Francolinus leucoscepus,22,19,30,29,10,23,4,16
655,Heloderma horridum,22,28,17,20,14,20,28,30
656,Columba livia,22,8,3,6,17,17,19,13
657,Theropithecus gelada,22,10,13,21,22,2,26,29
658,Felis rufus,22,26,1,2,2,8,18,30
659,Cordylus giganteus,22,23,19,17,17,29,5,1
660,Grus antigone,22,24,1,31,31,3,14,3
661,Oreotragus oreotragus,22,3,15,23,26,3,9,15
662,Columba palumbus,22,10,12,26,20,5,4,28
663,Boselaphus tragocamelus,22,12,31,22,25,21,12,17
664,Hymenolaimus malacorhynchus,22,30,20,3,11,12,23,3
665,Branta canadensis,22,14,17,30,14,13,15,5
666,Tursiops truncatus,22,4,19,19,28,15,30,9
667,Vicugna vicugna,22,20,5,8,18,11,23,16
668,Nasua narica,22,3,6,3,16,5,10,22
669,Plectopterus gambensis,22,2,9,12,6,23,4,10
670,Ciconia episcopus,22,23,2,15,2,10,18,24
671,Laniaurius atrococcineus,22,13,20,26,1,17,3,6
672,Phoeniconaias minor,22,9,24,21,5,16,22,22
673,Choloepus hoffmani,22,7,15,17,22,5,7,9
674,Acanthaster planci,22,27,20,8,15,3,8,6
675,Anas punctata,22,20,28,16,9,26,27,16
676,Crotalus cerastes,22,28,3,23,7,26,14,29
677,Ursus maritimus,22,24,14,11,29,4,5,12
678,Spizaetus coronatus,22,21,27,10,27,12,2,18
679,Aegypius tracheliotus,22,2,24,28,9,14,24,3
680,Capreolus capreolus,22,26,25,25,11,27,30,2
681,Phoenicopterus chilensis,22,23,30,8,5,17,4,27
682,Neotoma sp.,22,24,30,15,13,12,30,15
683,Cebus albifrons,22,23,8,16,24,25,5,16
684,Macropus giganteus,22,21,26,5,3,2,9,25
685,Kobus defassa,22,21,14,18,20,5,30,12
686,Cyrtodactylus louisiadensis,22,30,27,29,20,13,17,4
687,Cacatua tenuirostris,22,29,31,19,15,3,11,26
688,Dendrohyrax brucel,22,5,4,9,1,15,18,5
689,Trachyphonus vaillantii,22,8,30,16,2,4,6,25
690,Trachyphonus vaillantii,22,1,31,22,30,3,31,30
691,Sciurus niger,22,25,25,9,18,1,11,30
692,Grus rubicundus,22,5,16,12,19,18,25,27
693,Leptoptilus dubius,22,24,11,18,25,4,11,3
694,Coluber constrictor,22,15,24,17,23,22,17,3
695,Crocuta crocuta,22,17,1,30,24,3,3,25
696,Cracticus nigroagularis,22,14,16,31,16,20,29,1
697,Bison bison,22,8,24,5,23,20,18,8
698,Centrocercus urophasianus,22,27,17,5,25,8,11,1
699,Pandon haliaetus,22,22,25,10,13,10,25,4
700,Cracticus nigroagularis,22,4,18,1,22,5,25,17
701,Stenella coeruleoalba,22,14,8,21,21,2,7,7
702,Phaethon aethereus,22,21,30,7,26,19,25,16
703,Uraeginthus angolensis,22,2,18,1,24,14,4,6
704,Felis caracal,22,15,13,4,22,29,16,24
705,Francolinus coqui,22,19,21,11,15,3,11,9
706,Dusicyon thous,22,20,15,28,4,2,24,20
707,Castor fiber,22,28,31,19,20,31,22,20
708,Crotalus cerastes,22,26,3,7,26,30,28,17
709,unavailable,22,22,31,21,9,2,14,15
710,Theropithecus gelada,22,4,15,8,17,16,8,16
711,Trichoglossus haematodus moluccanus,22,29,18,13,23,9,24,31
712,Notechis semmiannulatus,22,29,8,15,4,11,18,27
713,Bassariscus astutus,22,28,20,5,22,4,9,27
714,Dicrurus adsimilis,22,16,7,4,15,5,4,23
715,Centrocercus urophasianus,22,1,3,21,4,24,15,3
716,Acrobates pygmaeus,22,3,19,28,21,26,25,6
717,Estrilda erythronotos,22,13,13,29,11,14,19,15
718,Tyto novaehollandiae,22,16,30,28,11,26,30,7
719,Hippotragus equinus,22,11,25,16,11,1,13,30
720,Threskionis aethiopicus,22,18,6,16,4,16,6,29
721,Petaurus breviceps,22,5,7,24,9,22,13,25
722,Leptoptilos crumeniferus,22,18,15,8,31,18,1,25
723,Petaurus breviceps,22,28,21,17,1,8,7,10
724,Ammospermophilus nelsoni,22,23,8,17,9,30,10,16
725,Eolophus roseicapillus,22,28,25,11,1,8,29,3
726,Macropus rufogriseus,22,9,20,4,11,26,30,9
727,Microcebus murinus,22,31,11,28,23,4,5,7
728,Paroaria gularis,22,4,7,20,3,23,16,10
729,Struthio camelus,22,17,26,20,12,15,31,26
730,Delphinus delphis,22,26,27,24,26,31,5,26
731,Fregata magnificans,22,24,11,9,24,6,23,20
732,Phoca vitulina,22,25,29,25,13,30,28,11
733,Macropus rufogriseus,22,22,21,15,26,31,31,5
734,Papio cynocephalus,22,22,14,28,21,10,10,13
735,Streptopelia decipiens,22,2,19,31,18,27,4,26
736,Crotalus cerastes,22,17,31,15,24,7,9,14
737,Paraxerus cepapi,22,15,14,15,14,2,16,15
738,Haematopus ater,22,20,27,17,19,24,3,19
739,Uraeginthus granatina,22,14,12,10,25,14,25,1
740,Boa caninus,22,3,6,18,24,2,3,3
741,Coluber constrictor,22,4,18,6,1,4,6,15
742,Isoodon obesulus,22,25,12,5,7,26,26,22
743,Antidorcas marsupialis,22,8,1,25,4,1,19,18
744,Dipodomys deserti,22,13,30,19,1,25,20,15
745,Naja sp.,22,26,7,12,1,20,7,11
746,Terathopius ecaudatus,22,3,7,22,10,19,4,17
747,Macaca mulatta,22,20,17,10,12,2,14,1
748,Helogale undulata,22,14,3,1,18,24,6,31
749,Tockus erythrorhyncus,22,21,12,17,6,16,14,11
750,Sarcorhamphus papa,22,15,14,24,26,21,12,20
751,Paraxerus cepapi,22,31,24,19,17,1,28,3
752,Gyps bengalensis,22,17,31,31,3,5,6,10
753,Tockus erythrorhyncus,22,25,10,8,24,28,29,21
754,Dicrostonyx groenlandicus,22,23,3,7,24,20,24,27
755,Buteo galapagoensis,22,25,8,5,14,16,3,9
756,Conolophus subcristatus,22,4,16,10,3,25,19,23
757,Papio cynocephalus,22,23,9,13,6,12,9,18
758,Oxybelis sp.,22,13,29,23,30,12,18,11
759,Anser caerulescens,22,18,10,31,26,5,2,27
760,Ramphastos tucanus,22,7,15,15,26,27,15,23
761,Trachyphonus vaillantii,22,11,6,7,27,14,16,30
762,Felis silvestris lybica,22,21,11,3,26,20,24,17
763,Pandon haliaetus,22,28,31,3,14,23,16,8
764,Tenrec ecaudatus,22,29,4,25,9,12,18,18
765,Spizaetus coronatus,22,13,16,19,2,1,23,2
766,unavailable,22,21,26,19,25,9,7,9
767,Notechis semmiannulatus,22,21,16,4,18,11,31,12
768,Tayassu tajacu,22,2,19,17,6,30,6,24
769,Macaca fuscata,22,25,25,17,14,14,13,6
770,Tamandua tetradactyla,22,29,31,13,19,6,16,31
771,Cereopsis novaehollandiae,22,31,6,30,25,31,16,14
772,Cereopsis novaehollandiae,22,30,3,22,1,5,24,13
773,Passer domesticus,22,14,2,11,4,8,15,13
774,Choriotis kori,22,6,18,4,12,10,15,1
775,Aegypius tracheliotus,22,31,9,8,20,12,3,9
776,Galago crassicaudataus,22,23,5,23,18,16,5,28
777,Picoides pubescens,22,4,22,11,14,8,21,25
778,Rhea americana,22,3,30,24,13,15,15,30
779,Anser anser,22,19,18,10,9,6,20,23
780,Aquila chrysaetos,22,16,23,9,31,20,13,9
781,Parus atricapillus,22,20,21,1,8,30,10,7
782,Hymenolaimus malacorhynchus,22,17,28,18,6,8,17,31
783,Laniarius ferrugineus,22,26,6,10,17,2,14,13
784,Butorides striatus,22,3,4,18,2,9,24,9
785,Uraeginthus granatina,22,29,12,6,3,10,20,31
786,Chelodina longicollis,22,11,13,7,26,17,11,31
787,Zalophus californicus,22,25,15,2,20,29,8,31
788,Petaurus norfolcensis,22,24,5,12,14,21,6,6
789,Terrapene carolina,22,10,12,16,19,5,22,31
790,Tayassu tajacu,22,15,16,16,8,17,17,20
791,Columba livia,22,26,14,8,17,21,18,6
792,Platalea leucordia,22,28,13,25,12,29,28,1
793,unavailable,22,22,27,24,18,12,20,20
794,Pseudalopex gymnocercus,22,23,20,14,3,4,6,18
795,Felis libyca,22,20,24,11,23,2,26,21
796,Alligator mississippiensis,22,3,30,5,11,18,1,28
797,Seiurus aurocapillus,22,10,14,25,24,15,12,3
798,Varanus komodensis,22,17,30,8,15,24,11,12
799,Crotalus cerastes,22,31,26,3,1,3,27,20
800,Macaca mulatta,22,30,15,12,19,18,29,28
801,Ourebia ourebi,22,20,29,22,12,17,18,25
802,Bubo virginianus,22,25,20,24,10,12,31,23
803,Francolinus swainsonii,22,14,25,28,22,24,4,1
804,Tyto novaehollandiae,22,7,31,22,10,12,29,23
805,Sylvicapra grimma,22,13,5,24,1,23,9,27
806,Felis silvestris lybica,22,3,25,26,21,20,16,3
807,Terrapene carolina,22,16,21,8,26,5,6,30
808,Ara ararauna,22,13,13,16,5,17,7,28
809,Zalophus californicus,22,17,2,5,16,19,31,23
810,Chlidonias leucopterus,22,1,17,16,11,21,28,23
811,Agelaius phoeniceus,22,3,18,8,17,27,2,20
812,Paradoxurus hermaphroditus,22,28,9,19,16,1,26,21
813,Chloephaga melanoptera,22,26,3,16,2,2,23,12
814,Neophron percnopterus,22,27,15,5,11,20,21,11
815,Tiliqua scincoides,22,31,24,29,31,20,28,30
816,unavailable,22,13,19,7,13,26,20,17
817,Naja haje,22,30,28,31,23,21,3,24
818,Taurotagus oryx,22,17,14,20,22,16,8,1
819,Leptoptilus dubius,22,16,17,29,24,13,1,3
820,Certotrichas paena,22,2,26,8,7,13,1,17
821,Cacatua tenuirostris,22,13,14,30,23,30,18,2
822,Passer domesticus,22,15,22,6,11,22,11,28
823,Macropus rufogriseus,22,9,18,18,2,26,23,25
824,Melanerpes erythrocephalus,22,4,29,16,30,7,7,31
825,Vicugna vicugna,22,15,11,1,8,15,4,20
826,Sarcophilus harrisii,22,22,5,31,18,27,8,4
827,Sterna paradisaea,22,19,29,9,29,12,9,8
828,Heloderma horridum,22,5,13,26,16,4,29,21
829,Papio ursinus,22,12,7,19,30,6,11,28
830,Tenrec ecaudatus,22,27,25,14,10,1,4,1
831,Leptoptilos crumeniferus,22,23,18,18,6,19,4,26
832,Thamnolaea cinnmomeiventris,22,11,20,10,31,28,6,5
833,Lybius torquatus,22,26,18,24,24,12,9,9
834,Cynictis penicillata,22,4,23,10,11,27,20,26
835,Chlamydosaurus kingii,22,2,1,30,7,24,6,24
836,Ceratotherium simum,22,25,9,2,2,25,19,16
837,Ammospermophilus nelsoni,22,2,24,7,1,12,28,16
838,Felis caracal,22,17,19,20,31,25,13,28
839,Psophia viridis,22,13,24,16,11,9,13,7
840,Dicrostonyx groenlandicus,22,25,18,26,14,28,11,8
841,Speotyte cuniculata,22,31,20,26,14,15,7,18
842,Dasyurus maculatus,22,18,9,11,15,14,10,16
843,Galictis vittata,22,4,18,25,25,9,18,18
844,Eira barbata,22,1,24,19,8,23,23,1
845,Climacteris melanura,22,9,1,19,5,14,26,18
846,Trichoglossus haematodus moluccanus,22,21,14,1,28,2,18,20
847,Fregata magnificans,22,24,31,13,29,22,12,7
848,Tayassu pecari,22,18,18,31,2,6,19,1
849,Chauna torquata,22,22,15,5,16,28,1,13
850,Ursus americanus,22,13,26,22,20,14,7,22
851,Cynomys ludovicianus,22,15,19,3,9,1,15,4
852,Phalacrocorax carbo,22,7,29,29,18,20,26,8
853,Aegypius tracheliotus,22,13,9,27,26,10,25,17
854,Terathopius ecaudatus,22,10,6,4,21,28,4,13
855,Stercorarius longicausus,22,15,4,17,14,1,28,15
856,Petaurus breviceps,22,3,13,3,22,6,1,29
857,Acridotheres tristis,22,11,7,20,24,2,6,5
858,Damaliscus lunatus,22,16,12,18,30,6,20,17
859,Procyon lotor,22,28,30,9,17,22,12,9
860,Lemur fulvus,22,28,23,25,22,14,23,28
861,Neophoca cinerea,22,13,7,2,1,17,11,12
862,Cervus elaphus,22,6,17,25,6,24,8,15
863,Paradoxurus hermaphroditus,22,12,21,16,2,22,21,14
864,Tamiasciurus hudsonicus,22,24,8,16,30,27,24,21
865,Gorilla gorilla,22,24,24,14,21,6,19,6
866,Nasua narica,22,15,13,12,22,10,29,23
867,Papilio canadensis,22,8,19,18,12,4,20,25
868,Vanessa indica,22,14,4,5,22,22,5,13
869,Agama sp.,22,22,11,15,4,4,14,22
870,Anhinga rufa,22,22,27,18,22,8,19,27
871,Dicrostonyx groenlandicus,22,9,11,23,18,25,30,14
872,Ictonyx striatus,22,2,31,14,6,3,23,25
873,Panthera onca,22,10,2,12,21,2,10,11
874,Gazella granti,22,30,21,17,4,15,16,11
875,Lasiodora parahybana,22,8,3,18,20,2,29,21
876,Pytilia melba,22,16,15,23,12,18,3,29
877,Stercorarius longicausus,22,30,1,31,9,12,18,19
878,Carduelis uropygialis,22,18,11,17,23,9,11,1
879,Lemur catta,22,8,23,20,31,15,1,21
880,Zosterops pallidus,22,20,13,10,11,8,25,9
881,Macropus eugenii,22,6,3,18,4,22,1,2
882,Sitta canadensis,22,24,4,19,26,25,4,17
883,Echimys chrysurus,22,26,13,5,5,22,7,22
884,Odocoileus hemionus,22,1,19,5,9,16,24,31
885,Ardea cinerea,22,29,18,6,20,7,25,3
886,Caiman crocodilus,22,4,30,5,30,19,9,14
887,unavailable,22,2,9,7,14,25,4,22
888,Cracticus nigroagularis,22,5,7,11,27,2,26,11
889,Catharacta skua,22,26,18,29,31,22,31,22
890,Felis yagouaroundi,22,12,19,28,7,16,21,3
891,Ctenophorus ornatus,22,19,9,16,6,26,12,29
892,Arctogalidia trivirgata,22,25,3,18,25,18,26,31
893,Uraeginthus granatina,22,5,17,17,26,29,25,30
894,Crocodylus niloticus,22,9,20,27,18,16,18,20
895,Butorides striatus,22,19,31,1,10,19,9,17
896,Bison bison,22,4,13,12,11,10,5,29
897,Mycteria ibis,22,16,27,28,14,5,10,20
898,Zalophus californicus,22,19,30,30,31,10,19,3
899,Eunectes sp.,22,14,4,3,17,1,7,30
900,Mazama gouazoubira,22,4,17,21,6,3,26,7
901,Hyaena brunnea,22,15,13,21,23,29,8,19
902,Phalacrocorax varius,22,26,24,13,18,29,27,2
903,Naja sp.,22,7,2,5,8,15,10,15
904,Uraeginthus angolensis,22,26,29,21,6,16,29,5
905,Castor canadensis,22,12,2,20,27,21,2,9
906,Paraxerus cepapi,22,16,11,4,26,22,18,31
907,unavailable,22,14,5,13,27,29,12,7
908,Anhinga rufa,22,28,2,14,3,22,19,4
909,Phalacrocorax albiventer,22,10,1,9,22,28,9,10
910,Bassariscus astutus,22,16,2,16,3,30,19,21
911,Macaca mulatta,22,2,24,24,18,14,24,24
912,Cyrtodactylus louisiadensis,22,18,10,10,30,1,19,27
913,Ciconia episcopus,22,18,22,25,24,8,9,2
914,Eutamias minimus,22,24,14,31,22,27,28,27
915,Nectarinia chalybea,22,7,25,31,11,2,13,2
916,Aonyx cinerea,22,17,1,18,24,21,25,27
917,Gyps bengalensis,22,24,2,25,31,4,29,6
918,Cercatetus concinnus,22,15,19,20,5,16,9,17
919,Ardea golieth,22,14,17,17,11,29,14,28
920,Acridotheres tristis,22,23,19,13,21,27,4,12
921,Cathartes aura,22,1,24,24,19,15,31,5
922,Tursiops truncatus,22,17,9,21,18,13,23,29
923,Macaca radiata,22,19,12,31,3,27,7,4
924,Erinaceus frontalis,22,28,31,30,13,18,12,29
925,Diomedea irrorata,22,2,16,16,13,3,28,11
926,Oxybelis fulgidus,22,12,2,13,12,15,6,2
927,Ardea golieth,22,8,21,9,12,14,16,14
928,Ara macao,22,26,22,7,26,29,1,18
929,Ctenophorus ornatus,22,23,9,19,28,14,17,7
930,Felis caracal,22,15,16,3,30,27,30,21
931,Platalea leucordia,22,2,11,28,4,24,9,17
932,Orcinus orca,22,5,28,10,5,10,6,13
933,Zonotrichia capensis,22,5,2,31,3,22,5,11
934,Sylvicapra grimma,22,23,14,4,30,27,27,27
935,Papilio canadensis,22,16,18,5,28,27,9,1
936,Bison bison,22,12,16,2,16,20,14,21
937,Varanus salvator,22,23,21,24,17,19,2,10
938,Snycerus caffer,22,15,21,12,29,25,18,14
939,Alouatta seniculus,22,13,11,8,18,7,27,3
940,Trichosurus vulpecula,22,18,18,1,4,20,15,20
941,Alopochen aegyptiacus,22,24,29,25,13,3,23,3
942,Macropus giganteus,22,19,19,20,5,8,12,21
943,Pelecanus conspicillatus,22,8,20,12,3,31,21,25
944,Streptopelia decipiens,22,8,14,22,31,25,14,26
945,unavailable,22,21,9,17,15,9,18,12
946,Milvago chimachima,22,20,20,10,18,13,9,4
947,unavailable,22,22,27,20,22,14,13,5
948,Manouria emys,22,19,4,29,7,15,24,29
949,Crocodylus niloticus,22,13,31,30,10,19,19,25
950,Castor canadensis,22,25,14,25,3,30,21,19
951,Phalaropus lobatus,22,31,9,27,21,1,12,4
952,Cacatua galerita,22,20,6,15,4,16,2,7
953,Hyaena brunnea,22,23,20,8,25,21,31,29
954,Naja sp.,22,1,18,17,23,10,29,25
955,Hippotragus niger,22,19,12,15,23,28,13,17
956,Tiliqua scincoides,22,27,21,16,31,30,8,3
957,Tayassu tajacu,22,13,5,13,24,14,8,7
958,Semnopithecus entellus,22,26,8,7,29,26,15,9
959,Bassariscus astutus,22,9,9,21,12,9,13,22
960,Zonotrichia capensis,22,17,17,4,21,20,8,5
961,Tamiasciurus hudsonicus,22,3,24,22,1,22,16,7
962,Ceryle rudis,22,16,28,3,19,31,17,4
963,Bradypus tridactylus,22,1,8,11,7,26,2,1
964,Tachyglossus aculeatus,22,12,16,22,25,20,7,21
965,Lutra canadensis,22,8,5,17,2,22,2,31
966,Canis latrans,22,9,21,2,15,20,7,19
967,Galago crassicaudataus,22,18,29,23,28,4,11,24
968,Tachybaptus ruficollis,22,1,30,3,13,8,27,2
969,Varanus komodensis,22,17,1,9,20,25,26,8
970,Pitangus sulphuratus,22,4,15,20,4,13,10,16
971,Psittacula krameri,22,1,25,18,22,14,21,30
972,Eumetopias jubatus,22,16,25,1,28,12,7,13
973,Ornithorhynchus anatinus,22,20,17,6,7,17,17,5
974,Pycnonotus barbatus,22,15,29,22,7,13,12,9
975,Aepyceros mylampus,22,6,23,5,10,5,24,28
976,Creagrus furcatus,22,23,2,6,14,26,19,11
977,Gazella thompsonii,22,13,2,12,14,10,10,4
978,Ara ararauna,22,25,6,4,7,5,13,17
979,Corythornis cristata,22,24,28,8,22,21,25,25
980,Pelecanus occidentalis,22,29,6,20,5,29,30,24
981,Phoenicopterus ruber,22,9,17,31,10,10,23,16
982,Thalasseus maximus,22,15,7,15,13,20,25,12
983,Myrmecobius fasciatus,22,4,12,14,2,25,19,19
984,Ardea cinerea,22,15,9,15,12,13,21,23
985,Mirounga leonina,22,13,22,6,14,1,28,2
986,Ciconia ciconia,22,21,4,29,25,28,7,13
987,Phalacrocorax brasilianus,22,6,24,20,26,18,4,19
988,Mirounga angustirostris,22,12,12,23,21,15,23,25
989,Semnopithecus entellus,22,8,9,23,3,10,4,21
990,Phaethon aethereus,22,1,12,5,18,26,26,20
991,unavailable,22,17,23,31,27,22,20,10
992,Iguana iguana,22,18,17,22,17,3,15,27
